Melisa,Ajith,Jason,Zach,6
Melisa,Ajith,Jason,Zach,7
Dan,Brian,Melisa,Ajith,7
Brian,Dan,Jason,Ajith,7
Brian,Dan,Jason,Chris,2
Dan,Chris,Trevor,Brian,4
Dan,Chris,Trevor,Joanna,5
Dan,Chris,Trevor,Brian,5
Dan,Chris,Trevor,Joanna,3
Joanna,Trevor,Brian,Dan,6
Jason,Peter,Joanna,Alex,7
Jason,Peter,Dan,Jacques,7
Jason,Peter,JonJ,Brian,3
Alex,Joanna,Jason,Peter,7
Dan,Trevor,Alex,Joanna,1
Dan,Trevor,Alex,Jason,6
Dan,Trevor,Joanna,Alex,4
Joanna,Dan,Alex,Trevor,6
Joanna,Dan,Alex,Trevor,5
Trevor,Brian,Dan,Alex,1
Jason,Chris,Brian,Trevor,1
Alex,Dan,Jason,Chris,5
Alex,Dan,Trevor,Jason,2
Jason,Dan,Alex,Trevor,2
Trevor,Dan,Brian,Jason,6
Alex,Trevor,Joanna,Chris,7
Alex,Trevor,Joanna,Zach,3
Jason,JohnH,Alex,Trevor,6
Jason,JohnH,Dan,Chris,2
Jason,JohnH,Joanna,Ajith,4
JonJ,Alex,Jason,JohnH,7
Brian,Dan,JonJ,Alex,7
Brian,Dan,Joanna,Trevor,3
Brian,Dan,JohnH,Ajith,5
Alex,Brian,Joanna,Dan,5
Jason,Sneha,Alex,Chris,4
Alex,Chris,Jason,Sneha,3
Alex,Chris,Jason,Sneha,3
Alex,Joanna,Reynolds,Zach,5
Dan,JohnH,Alex,Joanna,7
Dan,JohnH,Trevor,Reynolds,6
Dan,JohnH,Jason,Jacques,5
Dan,JohnH,Joanna,Chris,0
Dan,JohnH,Alex,Trevor,6
Dan,JohnH,Jason,Jacques,6
Reynolds,Ajith,Dan,JohnH,4
Reynolds,Joanna,Jason,Chris,7
Alex,Dan,Reynolds,Joanna,6
Alex,Dan,JohnH,Trevor,4
Alex,Dan,Jason,Joanna,2
Jason,Dan,Joanna,JohnH,2
Dan,Chris,Joanna,JohnH,2
Alex,Peter,Dan,Chris,6
Alex,Peter,Jason,JohnH,1
Dan,Joanna,Alex,Peter,5
Dan,Joanna,Jason,JohnH,6
Alex,Peter,KevinG,JohnH,4
Dan,Trevor,JohnH,KevinG,4
Trevor,Dan,Joanna,JohnH,5
Zach,Joanna,Dan,Chris,5
Jason,Alex,Zach,Joanna,5
Jason,Alex,Trevor,Sneha,3
Dan,Jacques,Jason,Alex,5
Dan,Jacques,JohnH,Trevor,6
Joanna,Alex,Dan,Jacques,3
Joanna,Alex,JohnH,Jason,4
Joanna,KevinL,Alex,Lisa,5
Ajith,Dan,KevinL,Joanna,0
Dan,Ajith,Trevor,Jacques,3
JonJ,Jason,Alex,JohnH,3
Joanna,Trevor,JonJ,Jason,5
Alex,JohnH,JonJ,Dan,7
Jason,Joanna,Alex,JohnH,4
Jason,Joanna,Dan,Trevor,6
JonJ,Ajith,Jason,Joanna,2
JonJ,Ajith,Dan,Trevor,6
JonJ,Ajith,Jason,Sneha,3
JonJ,Ajith,Joanna,Dan,1
JonJ,Ajith,Alex,Sneha,4
Alex,Dan,JonJ,Ajith,4
Joanna,Dan,Alex,Sneha,6
Joanna,Dan,KevinL,Trevor,0
Joanna,Dan,Alex,Trevor,1
Joanna,Alex,Zach,Reynolds,5
Alex,Joanna,JohnH,Jacques,5
Dan,Alex,Jason,Zach,4
Dan,Alex,Reynolds,Chris,6
